iter	Logloss
0	0.5001074647
1	0.3916225263
2	0.3254345594
3	0.2818454503
4	0.2524425174
5	0.2328752837
6	0.2200882329
7	0.2109193501
8	0.2040907134
9	0.1996407997
10	0.1964761005
11	0.194479686
12	0.1923044276
13	0.1911453394
14	0.1901129703
15	0.1893753962
16	0.1888883224
17	0.1883484348
18	0.1880147111
19	0.1876556595
20	0.187173637
21	0.1866918562
22	0.1865285595
23	0.1862661595
24	0.1859361499
25	0.1857641843
26	0.1854811315
27	0.1854776953
28	0.1852893021
29	0.185273523
30	0.1852430451
31	0.1848385729
32	0.1847071363
33	0.184568315
34	0.1845224563
35	0.1843380611
36	0.184332061
37	0.1841184208
38	0.1838383154
39	0.1838272084
40	0.1838068298
41	0.1838014311
42	0.1837995719
43	0.1837968181
44	0.18371971
45	0.1836861832
46	0.1836801484
47	0.1836733901
48	0.183671182
49	0.1836244716
