iter	Passed	Remaining
0	9	452
1	13	330
2	18	285
3	22	263
4	28	252
5	33	246
6	37	231
7	43	226
8	48	218
9	52	211
10	58	207
11	63	201
12	68	195
13	74	190
14	79	184
15	84	179
16	89	173
17	94	167
18	99	162
19	105	157
20	110	152
21	115	146
22	120	141
23	125	135
24	130	130
25	135	125
26	142	121
27	147	115
28	153	111
29	158	105
30	163	100
31	168	95
32	174	89
33	179	84
34	184	78
35	189	73
36	193	68
37	199	63
38	205	58
39	211	52
40	216	47
41	221	42
42	226	36
43	232	31
44	238	26
45	244	21
46	250	16
47	255	10
48	260	5
49	265	0
